counter,parent,child
9,f8b96502013bb7b239a1890627b094ab,00bad69b0a1ee4df7a940de05dfaa9ec
9,f8b96502013bb7b239a1890627b094ab,79b55365778380b6af23e34cc0d564dd
9,de6aba2e78044c096eb276422c4f2038,987ce250462165b7efe7ed7856812ce4
9,de6aba2e78044c096eb276422c4f2038,00b274b575402cef08c29c9740d9bd63
9,de6aba2e78044c096eb276422c4f2038,d44204beffa4b5a213e2ce995bcb211a
9,de6aba2e78044c096eb276422c4f2038,b2b32125660f56c56a70773da1ee1656
9,94844d81fcccebe38b948f721f2d9632,5bf00f777ef34d836b5e814b99964f5a
9,94844d81fcccebe38b948f721f2d9632,e86a8ebaac85e31f93d99d9190039dbf
9,94844d81fcccebe38b948f721f2d9632,1d6ea4445537a9d758d54aac8a108f84
9,94844d81fcccebe38b948f721f2d9632,0bec9d2f812ee014d822a7fd4c2ea081
9,94844d81fcccebe38b948f721f2d9632,3d5fed35e500feec1eea80d443d21f61
9,c46dee1177224807b23d51e5dff9909b,93fa77e338479cf34e6f22f0071123b6
9,c46dee1177224807b23d51e5dff9909b,b9235a43d5e33667755c1b18579947d4
9,c46dee1177224807b23d51e5dff9909b,f6aa2fd3a9236b5776d92c0812279077
9,c46dee1177224807b23d51e5dff9909b,3974cfdd6b5f4f62e48a1531b2f7b2d5
9,c46dee1177224807b23d51e5dff9909b,fcdeb345d683cfff2a87edd8998c3e49
9,93fa77e338479cf34e6f22f0071123b6,c46dee1177224807b23d51e5dff9909b
9,93fa77e338479cf34e6f22f0071123b6,b9235a43d5e33667755c1b18579947d4
9,93fa77e338479cf34e6f22f0071123b6,f6aa2fd3a9236b5776d92c0812279077
9,93fa77e338479cf34e6f22f0071123b6,3974cfdd6b5f4f62e48a1531b2f7b2d5
9,93fa77e338479cf34e6f22f0071123b6,fcdeb345d683cfff2a87edd8998c3e49
9,5bf00f777ef34d836b5e814b99964f5a,94844d81fcccebe38b948f721f2d9632
9,5bf00f777ef34d836b5e814b99964f5a,1d6ea4445537a9d758d54aac8a108f84
9,5bf00f777ef34d836b5e814b99964f5a,0bec9d2f812ee014d822a7fd4c2ea081
9,5bf00f777ef34d836b5e814b99964f5a,e86a8ebaac85e31f93d99d9190039dbf
9,5bf00f777ef34d836b5e814b99964f5a,3d5fed35e500feec1eea80d443d21f61
9,e86a8ebaac85e31f93d99d9190039dbf,94844d81fcccebe38b948f721f2d9632
9,e86a8ebaac85e31f93d99d9190039dbf,1d6ea4445537a9d758d54aac8a108f84
9,e86a8ebaac85e31f93d99d9190039dbf,0bec9d2f812ee014d822a7fd4c2ea081
9,e86a8ebaac85e31f93d99d9190039dbf,5bf00f777ef34d836b5e814b99964f5a
9,e86a8ebaac85e31f93d99d9190039dbf,3d5fed35e500feec1eea80d443d21f61
9,1d6ea4445537a9d758d54aac8a108f84,94844d81fcccebe38b948f721f2d9632
9,1d6ea4445537a9d758d54aac8a108f84,e86a8ebaac85e31f93d99d9190039dbf
9,1d6ea4445537a9d758d54aac8a108f84,0bec9d2f812ee014d822a7fd4c2ea081
9,1d6ea4445537a9d758d54aac8a108f84,5bf00f777ef34d836b5e814b99964f5a
9,1d6ea4445537a9d758d54aac8a108f84,3d5fed35e500feec1eea80d443d21f61
9,0bec9d2f812ee014d822a7fd4c2ea081,94844d81fcccebe38b948f721f2d9632
9,0bec9d2f812ee014d822a7fd4c2ea081,e86a8ebaac85e31f93d99d9190039dbf
9,0bec9d2f812ee014d822a7fd4c2ea081,1d6ea4445537a9d758d54aac8a108f84
9,0bec9d2f812ee014d822a7fd4c2ea081,5bf00f777ef34d836b5e814b99964f5a
9,0bec9d2f812ee014d822a7fd4c2ea081,3d5fed35e500feec1eea80d443d21f61
9,3d5fed35e500feec1eea80d443d21f61,94844d81fcccebe38b948f721f2d9632
9,3d5fed35e500feec1eea80d443d21f61,e86a8ebaac85e31f93d99d9190039dbf
9,3d5fed35e500feec1eea80d443d21f61,1d6ea4445537a9d758d54aac8a108f84
9,3d5fed35e500feec1eea80d443d21f61,5bf00f777ef34d836b5e814b99964f5a
9,3d5fed35e500feec1eea80d443d21f61,0bec9d2f812ee014d822a7fd4c2ea081
9,f3273507959a123572cf372da83fdeb6,af93b224051fff461f0a71724c47a5a6
9,f3273507959a123572cf372da83fdeb6,4935772a93863e419fff445fd41c0abe
9,f3273507959a123572cf372da83fdeb6,9217d6a290c01a29995009a1a73b501a
9,f3273507959a123572cf372da83fdeb6,305ceacfee27b3bd02ff4e81045a5606
9,f3273507959a123572cf372da83fdeb6,86940ad74916e0aecc901a4be1c83cbd
9,b9235a43d5e33667755c1b18579947d4,c46dee1177224807b23d51e5dff9909b
9,b9235a43d5e33667755c1b18579947d4,93fa77e338479cf34e6f22f0071123b6
9,b9235a43d5e33667755c1b18579947d4,fcdeb345d683cfff2a87edd8998c3e49
